# ell TT EE TE
350 0.00080855 0 0
450 0.000565137 0 0
550 0.000437828 0 0
650 0.000350172 0 0
750 0.000291657 0 0
850 0.000251125 0 0
950 0.00022128 0 0
1050 0.000197281 0 0
1150 0.000179273 0 0
1250 0.000163471 0 0
1350 0.00015167 0 0
1450 0.000142124 0 0
1550 0.000133671 0 0
1650 0.000126385 0 0
1750 0.000120991 0 0
1850 0.00011514 0 0
1950 0.000110485 0 0
2050 0.000106279 0 0
2150 0.000102413 0 0
2250 9.94089e-05 0 0
2350 9.61533e-05 0 0
2450 9.35512e-05 0 0
2550 9.15724e-05 0 0
2650 8.93855e-05 0 0
2750 8.74401e-05 0 0
2850 8.53063e-05 0 0
2950 8.3732e-05 0 0
3050 8.20888e-05 0 0
3150 8.09292e-05 0 0
3250 7.98993e-05 0 0
3350 7.84418e-05 0 0
3450 7.70618e-05 0 0
3550 7.57532e-05 0 0
3650 7.49164e-05 0 0
3750 7.38973e-05 0 0
3850 7.31831e-05 0 0
3950 7.23721e-05 0 0
4050 7.13606e-05 0 0
4150 7.06704e-05 0 0
4250 6.98626e-05 0 0
4350 6.92149e-05 0 0
4450 6.85157e-05 0 0
