# ell TT EE TE
350 0.00158708 0 0
450 0.00112598 0 0
550 0.000884862 0 0
650 0.000712393 0 0
750 0.000597544 0 0
850 0.000517235 0 0
950 0.000457314 0 0
1050 0.000408888 0 0
1150 0.000372659 0 0
1250 0.000340491 0 0
1350 0.000316361 0 0
1450 0.000296861 0 0
1550 0.000279382 0 0
1650 0.000264468 0 0
1750 0.00025336 0 0
1850 0.000241247 0 0
1950 0.000231559 0 0
2050 0.000222748 0 0
2150 0.000214735 0 0
2250 0.000208496 0 0
2350 0.000201568 0 0
2450 0.000196181 0 0
2550 0.000192066 0 0
2650 0.000187484 0 0
2750 0.000183421 0 0
2850 0.000178892 0 0
2950 0.000175599 0 0
3050 0.000172177 0 0
3150 0.000169735 0 0
3250 0.000167577 0 0
3350 0.0001645 0 0
3450 0.000161613 0 0
3550 0.000158862 0 0
3650 0.000157106 0 0
3750 0.00015498 0 0
3850 0.000153456 0 0
3950 0.000151764 0 0
4050 0.000149647 0 0
4150 0.000148179 0 0
4250 0.000146501 0 0
4350 0.000145123 0 0
4450 0.000143649 0 0
