# ell TT EE TE
350 0.00036612 0 0
450 0.00024656 0 0
550 0.000181271 0 0
650 0.000139172 0 0
750 0.000112028 0 0
850 9.19977e-05 0 0
950 7.72305e-05 0 0
1050 6.56287e-05 0 0
1150 5.64942e-05 0 0
1250 4.93234e-05 0 0
1350 4.34469e-05 0 0
1450 3.86584e-05 0 0
1550 3.4576e-05 0 0
1650 3.11025e-05 0 0
1750 2.81963e-05 0 0
1850 2.56555e-05 0 0
1950 2.35691e-05 0 0
2050 2.17117e-05 0 0
2150 1.99672e-05 0 0
2250 1.85834e-05 0 0
2350 1.73681e-05 0 0
2450 1.62119e-05 0 0
2550 1.52199e-05 0 0
2650 1.43733e-05 0 0
2750 1.35583e-05 0 0
2850 1.28545e-05 0 0
2950 1.2197e-05 0 0
3050 1.15712e-05 0 0
3150 1.10781e-05 0 0
3250 1.06251e-05 0 0
3350 1.0187e-05 0 0
3450 9.76606e-06 0 0
